,country,year,gdp,gdp_cap,expenditure,population,inflation,enrollment,export,import
30,Colombia,2005,1.45619E+11,3414.465158,1.50688E+11,42647731,5.051420287,97.36612,24713096696,29781532864
31,Colombia,2006,1.61619E+11,3741.092837,1.68381E+11,43200901,4.292450118,96.31078,28652692001,35415105097
32,Colombia,2007,2.06182E+11,4714.073055,2.14909E+11,43737512,5.545141282,95.70891,33882152641,42609031128
33,Colombia,2008,2.42187E+11,5472.53653,2.49328E+11,44254972,6.998550403,95.72,43859076278,50999859583
34,Colombia,2009,2.32398E+11,5193.241458,2.3776E+11,44750054,4.201044769,95.72,38170172499,43531909261
35,Colombia,2010,2.86563E+11,6336.709474,2.91099E+11,45222699,2.271183264,95.72,46826832158,51362878664
36,Colombia,2011,3.34944E+11,7335.166934,3.38017E+11,45662747,3.417589591,95.72,64565472466,67638292456
37,Colombia,2012,3.70921E+11,8050.255372,3.7542E+11,46075721,3.167325603,95.24385,69774771037,74273083933
38,Colombia,2013,3.82116E+11,8218.347844,3.89047E+11,46495492,2.018098479,92.79763,69111202876,76041908078
39,Colombia,2014,3.81112E+11,8114.343921,3.97187E+11,46967706,2.897818744,92.90561,63397044931,79472229979
40,Colombia,2015,2.93482E+11,6175.87603,3.14203E+11,47520667,4.990234275,96.38124,45930514341,66651326832
41,Colombia,2016,2.82825E+11,5870.777957,3.01968E+11,48175048,7.514293228,95.42469,41623750619,60766406263
42,Colombia,2017,3.11884E+11,6376.706716,3.27454E+11,48909844,4.312141032,97.34596,47235694691,62805976728
43,Colombia,2018,3.33569E+11,6716.911598,3.49494E+11,49661056,3.240234138,97.75807,53017149214,68941950885
44,Colombia,2019,3.23616E+11,6428.676206,3.43402E+11,50339443,3.525492736,95.72,51123470287,70909181607
45,Ecuador,2005,41507085000,3002.136867,41865491000,13825847,2.407769783,97.90248,11463499000,11821905000
46,Ecuador,2006,46802044000,3328.882972,46354445000,14059384,3.298748463,98.50055,14196499000,13748900000
47,Ecuador,2007,51007777000,3567.836438,50356715000,14296557,2.27618478,99.09378,16287685000,15636623000
48,Ecuador,2008,61762635000,4249.019262,61595671000,14535739,8.40009594,94.52771,21100364000,20933400000
49,Ecuador,2009,62519686000,4231.615798,63524148000,14774424,5.159968292,98.13321,15785663000,16790125000
50,Ecuador,2010,69555367000,4633.590358,72694628000,15011117,3.554377346,98.34545,19402439000,22541700000
51,Ecuador,2011,79276664000,5200.55579,81058676000,15243883,4.474532658,98.21353,24671849000,26453861000
52,Ecuador,2012,87924544000,5682.045007,89174386000,15474102,5.10172181,97.92038,26522271000,27772113000
53,Ecuador,2013,95129659000,6056.330827,97345780000,15707474,2.721775777,98.0594,27243506000,29459627000
54,Ecuador,2014,1.01726E+11,6377.09153,1.03358E+11,15951838,3.589220166,97.85115,28536122000,30168281000
55,Ecuador,2015,99290381000,6124.491643,1.01998E+11,16212020,3.966646233,98.16284,21107369000,23815449000
56,Ecuador,2016,99937696000,6060.093329,99449758000,16491115,1.728264633,98.06549,19492639000,19004701000
57,Ecuador,2017,1.04296E+11,6213.501276,1.05084E+11,16785361,0.417335589,98.03402,21727767000,22516333000
58,Ecuador,2018,1.07562E+11,6295.935399,1.08802E+11,17084357,-0.224103246,97.5804,24314052000,25553987000
59,Ecuador,2019,1.07436E+11,6183.823825,1.07393E+11,17373662,0.266012515,97.88,25129245000,25086092000
60,Argentina,2005,1.98737E+11,5109.851325,1.86931E+11,38892931,9.6,99.34854,46198180131,34392237787
61,Argentina,2006,2.32557E+11,5919.012037,2.19488E+11,39289878,10.9,99.52115,53550250227,40480743016
62,Argentina,2007,2.87531E+11,7245.448317,2.74936E+11,39684295,8.8,99.65259,65162321195,52567536062
63,Argentina,2008,3.61558E+11,9020.873098,3.48111E+11,40080160,8.6,99.52275,79762958392,66316154417
64,Argentina,2009,3.32976E+11,8225.137176,3.16112E+11,40482788,6.3,99.51247,65133480388,48268743530
65,Argentina,2010,4.23627E+11,10385.96443,4.11356E+11,40788453,10.5,99.13102,80208867996,67937933972
66,Argentina,2011,5.30163E+11,12848.8642,5.21192E+11,41261490,9.8,99.21521,97810932629,88839174035
67,Argentina,2012,5.45982E+11,13082.66433,5.3534E+11,41733271,10,99.26778,88655850854,78013690407
68,Argentina,2013,5.52025E+11,13080.25473,5.52575E+11,42202935,10.6,99.44548,80690471898,81240190817
69,Argentina,2014,5.2632E+11,12334.79825,5.24192E+11,42669500,19,99.7727,75818867911,73691675720
70,Argentina,2015,5.94749E+11,13789.06042,6.01142E+11,43131966,26.7,99.83682,63671789069,70064879912
71,Argentina,2016,5.57531E+11,12790.24247,5.63328E+11,43590368,41.2,99.4496,69842486096,75639125937
72,Argentina,2017,6.43629E+11,14613.04182,6.60679E+11,44044811,25.7,99.48052,72860588697,89910533566
73,Argentina,2018,5.17627E+11,11633.49801,5.08686E+11,44494502,34.3,99.47,75676150102,85693671130
74,Argentina,2019,4.45445E+11,9912.281809,4.22855E+11,44938712,53.5,99.47,77684320033,67653945495
75,Paraguay,2005,10737500188,1843.633791,9646009610,5824096,6.807382031,96.56064,5110362043,4018871465
76,Paraguay,2006,13429430050,2271.090038,12374865382,5913209,9.589349411,95.03927,6216897492,5162332824
77,Paraguay,2007,17856270473,2976.825503,16472637913,5998427,8.130474177,93.15223,7745144668,6361512107
78,Paraguay,2008,24578067861,4041.583876,23705149350,6081296,10.15478465,91.4732,9795842928,8922924417
79,Paraguay,2009,22341754514,3624.571058,21205604172,6163972,2.591946734,90.10333,8095869370,6959719028
80,Paraguay,2010,27215968616,4355.934939,26426251238,6248020,4.651162791,88.55404,11002312080,10212594703
81,Paraguay,2011,33715524704,5322.96376,33049045459,6333976,8.253968254,89.8409,13219661068,12553181824
82,Paraguay,2012,33283228891,5183.082877,32886256973,6421512,3.67591898,87.83929,12273695530,11876723611
83,Paraguay,2013,38585317743,5926.832863,37154169184,6510276,2.683857387,91.57,14343221254,12912072695
84,Paraguay,2014,40276532541,6102.943233,39471173620,6599526,5.028827675,91.57,14021956331,13216597410
85,Paraguay,2015,36164068797,5406.703857,35626208400,6688746,3.129002745,91.57,11934366475,11396506078
86,Paraguay,2016,36054281572,5319.410218,34116366757,6777872,4.086822806,91.57,12756978958,10819064143
87,Paraguay,2017,39008900332,5680.580768,37417110958,6867062,3.602477413,91.57,14191128088,12599338714
88,Paraguay,2018,40384691791,5805.675616,39911618981,6956071,3.975610157,91.57,14507631759,14034558950
89,Paraguay,2019,38145288940,5414.799138,38073097688,7044636,2.757097276,91.57,13226279055,13154087803
