,country,year,gdp,gdp_cap,expenditure,population,inflation,enrollment,export,import
21,Germany,2006,2990000000000.0,36323.447739999996,2830000000000.0,82376451.0,1.5774282590000002,88.43977,1240000000000.0,1080000000000.0
22,Germany,2007,3420000000000.0,41587.2129,3190000000000.0,82266372.0,2.298341797,88.84199,1480000000000.0,1250000000000.0
23,Germany,2008,3730000000000.0,45427.15168,3500000000000.0,82110097.0,2.628381749,88.43606,1630000000000.0,1410000000000.0
24,Germany,2009,3400000000000.0,41485.90165,3230000000000.0,81902307.0,0.31273763,88.17263,1300000000000.0,1120000000000.0
25,Germany,2010,3400000000000.0,41531.9342,3220000000000.0,81776930.0,1.103809161,89.06942,1450000000000.0,1270000000000.0
26,Germany,2011,3740000000000.0,46644.77603,3560000000000.0,80274983.0,2.075174525,88.75173000000001,1690000000000.0,1500000000000.0
27,Germany,2012,3530000000000.0,43858.36306,3310000000000.0,80425823.0,2.008490922,88.52846,1630000000000.0,1420000000000.0
28,Germany,2013,3730000000000.0,46285.76407,3520000000000.0,80645605.0,1.50472098,88.18981,1700000000000.0,1480000000000.0
29,Germany,2014,3880000000000.0,47959.99327,3630000000000.0,80982500.0,0.9067979490000001,88.13653000000001,1770000000000.0,1510000000000.0
30,Germany,2015,3360000000000.0,41086.72967,3100000000000.0,81686611.0,0.51442054,89.44014,1570000000000.0,1320000000000.0
31,Germany,2016,3470000000000.0,42107.51727,3210000000000.0,82348669.0,0.491748625,90.62416999999999,1600000000000.0,1340000000000.0
32,Italy,2001,1170000000000.0,20483.21599,1150000000000.0,56974100.0,2.785165427,99.56583,299000000000.0,285000000000.0
33,Italy,2002,1270000000000.0,22270.144119999997,1260000000000.0,57059007.0,2.465323192,99.44093000000001,310000000000.0,301000000000.0
34,Italy,2003,1570000000000.0,27465.6753,1570000000000.0,57313203.0,2.672555528,99.38412,367000000000.0,360000000000.0
35,Italy,2004,1800000000000.0,31259.7165,1790000000000.0,57685327.0,2.206736614,99.39126,433000000000.0,422000000000.0
36,Italy,2005,1860000000000.0,32043.140369999997,1860000000000.0,57969484.0,1.985292985,99.17106,457000000000.0,459000000000.0
37,Italy,2006,1950000000000.0,33501.65817,1960000000000.0,58143979.0,2.09084391,99.08381999999999,510000000000.0,526000000000.0
38,Italy,2007,2210000000000.0,37822.665239999995,2220000000000.0,58438310.0,1.829741122,99.1077,605000000000.0,612000000000.0
39,Italy,2008,2400000000000.0,40778.34274,2420000000000.0,58826731.0,3.347832584,99.10081,644000000000.0,663000000000.0
40,Italy,2009,2190000000000.0,37079.758669999996,2200000000000.0,59095365.0,0.774768131,99.17129,491000000000.0,504000000000.0
41,Italy,2010,2130000000000.0,36000.52012,2170000000000.0,59277417.0,1.5255160209999998,99.29683,535000000000.0,575000000000.0
42,Italy,2011,2290000000000.0,38599.062210000004,2320000000000.0,59379449.0,2.7806327289999997,99.05555,616000000000.0,648000000000.0
43,Italy,2012,2090000000000.0,35053.52624,2060000000000.0,59539717.0,3.041363332,99.46236,592000000000.0,569000000000.0
44,Italy,2013,2140000000000.0,35549.9747,2090000000000.0,60233948.0,1.219993423,99.63949000000001,613000000000.0,562000000000.0
45,Italy,2014,2160000000000.0,35518.41529,2100000000000.0,60789140.0,0.24104743,98.89811999999999,628000000000.0,566000000000.0
46,Italy,2015,1840000000000.0,30230.2263,1780000000000.0,60730582.0,0.0387904,98.26567,546000000000.0,490000000000.0
47,Italy,2016,1880000000000.0,30939.71425,1810000000000.0,60627498.0,-0.09401665699999999,97.69825,550000000000.0,488000000000.0
48,France,2001,1380000000000.0,22433.55571,1350000000000.0,61357430.0,1.634780795,96.09347,389000000000.0,367000000000.0
49,France,2002,1490000000000.0,24177.33517,1460000000000.0,61805267.0,1.9234122869999999,96.04528,411000000000.0,382000000000.0
50,France,2003,1840000000000.0,29568.38595,1810000000000.0,62244886.0,2.098472191,95.82226999999999,481000000000.0,454000000000.0
51,France,2004,2120000000000.0,33741.26515,2090000000000.0,62704895.0,2.142089646,95.78781,560000000000.0,539000000000.0
52,France,2005,2200000000000.0,34760.18777,2190000000000.0,63179351.0,1.745869364,99.23101,594000000000.0,592000000000.0
53,France,2006,2320000000000.0,36443.623439999996,2320000000000.0,63621381.0,1.675124496,99.26235,648000000000.0,653000000000.0
54,France,2007,2660000000000.0,41508.43399,2680000000000.0,64016225.0,1.48799806,99.18236,740000000000.0,759000000000.0
55,France,2008,2920000000000.0,45334.11444,2950000000000.0,64374984.0,2.8128619489999998,98.74538000000001,821000000000.0,854000000000.0
56,France,2009,2690000000000.0,41575.41875,2710000000000.0,64707040.0,0.087620478,98.38524,668000000000.0,689000000000.0
57,France,2010,2640000000000.0,40638.334,2680000000000.0,65027507.0,1.5311227040000002,98.01978000000001,708000000000.0,742000000000.0
58,France,2011,2860000000000.0,43790.73205,2920000000000.0,65342780.0,2.111597952,99.03726999999999,813000000000.0,869000000000.0
59,France,2012,2680000000000.0,40874.70351,2720000000000.0,65659809.0,1.9541953159999998,98.91622,784000000000.0,819000000000.0
60,France,2013,2810000000000.0,42592.934089999995,2840000000000.0,65998687.0,0.8637154979999999,98.91152,825000000000.0,855000000000.0
61,France,2014,2850000000000.0,43011.2631,2880000000000.0,66312067.0,0.507758823,98.15483,846000000000.0,879000000000.0
62,France,2015,2440000000000.0,36638.18493,2450000000000.0,66548272.0,0.037514381,98.99877,746000000000.0,760000000000.0
63,France,2016,2470000000000.0,37037.374189999995,2490000000000.0,66724104.0,0.18333486100000002,99.37467,748000000000.0,762000000000.0
